,puma,above_lw,below_lw,above_pov,below_pov,pct_below_lw,pct_below_pov,code,name_x,flag,Unnamed: 3,Unnamed: 4,Unnamed: 5,state_fips,puma_short,name_y
734,65912,22586.0,24650.0,38531.0,8705.0,0.521847743247,0.184287407909,06 05912,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities ",1,,,,6,5912,ca
344,6102,28958.0,31610.0,47639.0,12929.0,0.521892748646,0.213462554484,06 00102,Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities ,1,,,,6,102,ca
342,6102,28958.0,31610.0,47639.0,12929.0,0.521892748646,0.213462554484,06 00102,Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities ,1,,,,6,102,ca
343,6102,28958.0,31610.0,47639.0,12929.0,0.521892748646,0.213462554484,06 00102,Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities ,1,,,,6,102,ca
473,63704,21353.0,23396.0,36497.0,8252.0,0.52282732575,0.184406355449,06 03704,Los Angeles County (North Central)--Palmdale City ,1,,,,6,3704,ca
471,63704,21353.0,23396.0,36497.0,8252.0,0.52282732575,0.184406355449,06 03704,Los Angeles County (North Central)--Palmdale City ,1,,,,6,3704,ca
472,63704,21353.0,23396.0,36497.0,8252.0,0.52282732575,0.184406355449,06 03704,Los Angeles County (North Central)--Palmdale City ,1,,,,6,3704,ca
5994,482320,15178.0,16632.0,24680.0,7130.0,0.522854448287,0.224143351147,48 02320,Dallas County (West)--Irving (South) & Grand Prairie (North) Cities ,1,,,,48,2320,tx
5995,482320,15178.0,16632.0,24680.0,7130.0,0.522854448287,0.224143351147,48 02320,Dallas County (West)--Irving (South) & Grand Prairie (North) Cities ,1,,,,48,2320,tx
5996,482320,15178.0,16632.0,24680.0,7130.0,0.522854448287,0.224143351147,48 02320,Dallas County (West)--Irving (South) & Grand Prairie (North) Cities ,1,,,,48,2320,tx
5083,395504,22631.0,24800.0,30711.0,16720.0,0.522864793068,0.352512070165,39 05504,Cincinnati City (Central) ,1,,,,39,5504,oh
5084,395504,22631.0,24800.0,30711.0,16720.0,0.522864793068,0.352512070165,39 05504,Cincinnati City (Central) ,1,,,,39,5504,oh
5082,395504,22631.0,24800.0,30711.0,16720.0,0.522864793068,0.352512070165,39 05504,Cincinnati City (Central) ,1,,,,39,5504,oh
2686,211000,20109.0,22051.0,31241.0,10919.0,0.523031309298,0.258989563567,21 01000,Kentucky River Area Development District ,1,,,,21,1000,ky
2687,211000,20109.0,22051.0,31241.0,10919.0,0.523031309298,0.258989563567,21 01000,Kentucky River Area Development District ,1,,,,21,1000,ky
2685,211000,20109.0,22051.0,31241.0,10919.0,0.523031309298,0.258989563567,21 01000,Kentucky River Area Development District ,1,,,,21,1000,ky
5462,423202,21559.0,23742.0,36740.0,8561.0,0.524094390852,0.188980375709,42 03202,Philadelphia City (Near Northeast-West) ,1,,,,42,3202,pa
5461,423202,21559.0,23742.0,36740.0,8561.0,0.524094390852,0.188980375709,42 03202,Philadelphia City (Near Northeast-West) ,1,,,,42,3202,pa
5460,423202,21559.0,23742.0,36740.0,8561.0,0.524094390852,0.188980375709,42 03202,Philadelphia City (Near Northeast-West) ,1,,,,42,3202,pa
4163,36701,24204.0,26659.0,35951.0,14912.0,0.52413345654,0.293179718066,36 00701,Onondaga County (Central)--Syracuse City ,1,,,,36,701,ny
4161,36701,24204.0,26659.0,35951.0,14912.0,0.52413345654,0.293179718066,36 00701,Onondaga County (Central)--Syracuse City ,1,,,,36,701,ny
4162,36701,24204.0,26659.0,35951.0,14912.0,0.52413345654,0.293179718066,36 00701,Onondaga County (Central)--Syracuse City ,1,,,,36,701,ny
2847,222302,21070.0,23323.0,33978.0,10415.0,0.525375622283,0.234609059987,22 02302,Regional Planning Commission 5--Jefferson Parish (West Bank) ,1,,,,22,2302,la
2848,222302,21070.0,23323.0,33978.0,10415.0,0.525375622283,0.234609059987,22 02302,Regional Planning Commission 5--Jefferson Parish (West Bank) ,1,,,,22,2302,la
2849,222302,21070.0,23323.0,33978.0,10415.0,0.525375622283,0.234609059987,22 02302,Regional Planning Commission 5--Jefferson Parish (West Bank) ,1,,,,22,2302,la
6419,486400,14714.0,16291.0,22481.0,8524.0,0.525431382035,0.274923399452,48 06400,South Texas Development Council (South) & Coastal Bend COG (West) ,6,,,,48,6400,tx
6417,486400,14714.0,16291.0,22481.0,8524.0,0.525431382035,0.274923399452,48 06400,South Texas Development Council (South) & Coastal Bend COG (West) ,6,,,,48,6400,tx
6418,486400,14714.0,16291.0,22481.0,8524.0,0.525431382035,0.274923399452,48 06400,South Texas Development Council (South) & Coastal Bend COG (West) ,6,,,,48,6400,tx
6176,484609,18887.0,20960.0,28755.0,11092.0,0.526011995884,0.27836474515,48 04609,Houston City (North)--South of Aldine & Inside Beltway TX-8 ,1,,,,48,4609,tx
6174,484609,18887.0,20960.0,28755.0,11092.0,0.526011995884,0.27836474515,48 04609,Houston City (North)--South of Aldine & Inside Beltway TX-8 ,1,,,,48,4609,tx
6175,484609,18887.0,20960.0,28755.0,11092.0,0.526011995884,0.27836474515,48 04609,Houston City (North)--South of Aldine & Inside Beltway TX-8 ,1,,,,48,4609,tx
6261,484638,15030.0,16701.0,24599.0,7132.0,0.526330717595,0.224764425956,48 04638,Houston City (Southwest)--East of TX-6 & West of Beltway TX-8 ,1,,,,48,4638,tx
6263,484638,15030.0,16701.0,24599.0,7132.0,0.526330717595,0.224764425956,48 04638,Houston City (Southwest)--East of TX-6 & West of Beltway TX-8 ,1,,,,48,4638,tx
6262,484638,15030.0,16701.0,24599.0,7132.0,0.526330717595,0.224764425956,48 04638,Houston City (Southwest)--East of TX-6 & West of Beltway TX-8 ,1,,,,48,4638,tx
1731,1210103,24545.0,27291.0,42936.0,8900.0,0.526487383286,0.171695346863,12 10103,Pasco County (Gulf Coast) ,1,,,,12,10103,fl
1732,1210103,24545.0,27291.0,42936.0,8900.0,0.526487383286,0.171695346863,12 10103,Pasco County (Gulf Coast) ,1,,,,12,10103,fl
1733,1210103,24545.0,27291.0,42936.0,8900.0,0.526487383286,0.171695346863,12 10103,Pasco County (Gulf Coast) ,1,,,,12,10103,fl
6645,5541002,20581.0,22903.0,33118.0,10366.0,0.526699475669,0.238386532978,55 41002,Milwaukee City (North Central) ,1,,,,55,41002,wi
6643,5541002,20581.0,22903.0,33118.0,10366.0,0.526699475669,0.238386532978,55 41002,Milwaukee City (North Central) ,1,,,,55,41002,wi
6646,5541002,20581.0,22903.0,33118.0,10366.0,0.526699475669,0.238386532978,55 41002,Milwaukee City (North Central) ,1,,,,55,41002,wi
